"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1537","GET /api/productsList returns valid response structure","alerted","2026-09-23","passed","2026-09-23","Product API Contract","api/products.contract.spec.ts","",""
"","672","should handle multiple tabs using window/popup events","unauthenticated","2026-09-23","passed","2026-09-23","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","10815","should complete a user login, search for product, add to cart, and proceed to checkout","unauthenticated","2026-09-23","passed","2026-09-23","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","12396","should complete a user login, search for product, add to cart, and proceed to checkout","alerted","2026-09-23","passed","2026-09-23","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","1026","should interact with nested iframes using frame locators","unauthenticated","2026-09-23","passed","2026-09-23","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","709","should handle multiple tabs using window/popup events","alerted","2026-09-23","passed","2026-09-23","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","948","should interact with nested iframes using frame locators","alerted","2026-09-23","passed","2026-09-23","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","1463","GET /api/productsList returns valid response structure","unauthenticated","2026-09-23","passed","2026-09-23","Product API Contract","api/products.contract.spec.ts","",""
