"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8460","should complete a user login, search for product, add to cart, and proceed to checkout","alerted","2026-09-24","passed","2026-09-24","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","1161","should handle multiple tabs using window/popup events","alerted","2026-09-24","passed","2026-09-24","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","1152","should interact with nested iframes using frame locators","unauthenticated","2026-09-24","passed","2026-09-24","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","1116","should handle multiple tabs using window/popup events","unauthenticated","2026-09-24","passed","2026-09-24","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","7677","should complete a user login, search for product, add to cart, and proceed to checkout","unauthenticated","2026-09-24","passed","2026-09-24","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","1197","should interact with nested iframes using frame locators","alerted","2026-09-24","passed","2026-09-24","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","782","GET /api/productsList returns valid response structure","unauthenticated","2026-09-24","passed","2026-09-24","Product API Contract","api/products.contract.spec.ts","",""
"","625","GET /api/productsList returns valid response structure","alerted","2026-09-24","passed","2026-09-24","Product API Contract","api/products.contract.spec.ts","",""
