"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","346","should handle multiple tabs using window/popup events","unauthenticated","2026-07-22","passed","2026-07-22","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","6787","should complete a user login, search for product, add to cart, and proceed to checkout","alerted","2026-07-22","passed","2026-07-22","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","701","GET /api/productsList returns valid response structure","alerted","2026-07-22","passed","2026-07-22","Product API Contract","api/products.contract.spec.ts","",""
"","815","should interact with nested iframes using frame locators","alerted","2026-07-22","passed","2026-07-22","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","739","should interact with nested iframes using frame locators","unauthenticated","2026-07-22","passed","2026-07-22","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","746","GET /api/productsList returns valid response structure","unauthenticated","2026-07-22","passed","2026-07-22","Product API Contract","api/products.contract.spec.ts","",""
"","7686","should complete a user login, search for product, add to cart, and proceed to checkout","unauthenticated","2026-07-22","passed","2026-07-22","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","337","should handle multiple tabs using window/popup events","alerted","2026-07-22","passed","2026-07-22","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
