"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1180","should handle multiple tabs using window/popup events","unauthenticated","2026-09-26","passed","2026-09-26","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","1199","should interact with nested iframes using frame locators","alerted","2026-09-26","passed","2026-09-26","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","6768","should complete a user login, search for product, add to cart, and proceed to checkout","unauthenticated","2026-09-26","passed","2026-09-26","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","548","GET /api/productsList returns valid response structure","alerted","2026-09-26","passed","2026-09-26","Product API Contract","api/products.contract.spec.ts","",""
"","7827","should complete a user login, search for product, add to cart, and proceed to checkout","alerted","2026-09-26","passed","2026-09-26","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","1164","should handle multiple tabs using window/popup events","alerted","2026-09-26","passed","2026-09-26","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","1146","should interact with nested iframes using frame locators","unauthenticated","2026-09-26","passed","2026-09-26","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","699","GET /api/productsList returns valid response structure","unauthenticated","2026-09-26","passed","2026-09-26","Product API Contract","api/products.contract.spec.ts","",""
