"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","700","GET /api/productsList returns valid response structure","unauthenticated","2026-07-23","passed","2026-07-23","Product API Contract","api/products.contract.spec.ts","",""
"","1090","should interact with nested iframes using frame locators","alerted","2026-07-23","passed","2026-07-23","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","1059","should interact with nested iframes using frame locators","unauthenticated","2026-07-23","passed","2026-07-23","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","550","GET /api/productsList returns valid response structure","alerted","2026-07-23","passed","2026-07-23","Product API Contract","api/products.contract.spec.ts","",""
"","7252","should complete a user login, search for product, add to cart, and proceed to checkout","unauthenticated","2026-07-23","passed","2026-07-23","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","8539","should complete a user login, search for product, add to cart, and proceed to checkout","alerted","2026-07-23","passed","2026-07-23","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","991","should handle multiple tabs using window/popup events","alerted","2026-07-23","passed","2026-07-23","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","1072","should handle multiple tabs using window/popup events","unauthenticated","2026-07-23","passed","2026-07-23","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
