"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","705","GET /api/productsList returns valid response structure","alerted","2026-07-22","passed","2026-07-22","Product API Contract","api/products.contract.spec.ts","",""
"","8321","should complete a user login, search for product, add to cart, and proceed to checkout","unauthenticated","2026-07-22","passed","2026-07-22","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","341","should handle multiple tabs using window/popup events","unauthenticated","2026-07-22","passed","2026-07-22","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","793","GET /api/productsList returns valid response structure","unauthenticated","2026-07-22","passed","2026-07-22","Product API Contract","api/products.contract.spec.ts","",""
"","6274","should complete a user login, search for product, add to cart, and proceed to checkout","alerted","2026-07-22","passed","2026-07-22","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","771","should interact with nested iframes using frame locators","alerted","2026-07-22","passed","2026-07-22","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","785","should interact with nested iframes using frame locators","unauthenticated","2026-07-22","passed","2026-07-22","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","384","should handle multiple tabs using window/popup events","alerted","2026-07-22","passed","2026-07-22","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
