"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1246","GET /api/productsList returns valid response structure","alerted","2026-09-25","passed","2026-09-25","Product API Contract","api/products.contract.spec.ts","",""
"","303","should handle multiple tabs using window/popup events","unauthenticated","2026-09-25","passed","2026-09-25","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","364","should handle multiple tabs using window/popup events","alerted","2026-09-25","passed","2026-09-25","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","737","should interact with nested iframes using frame locators","unauthenticated","2026-09-25","passed","2026-09-25","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","1049","GET /api/productsList returns valid response structure","unauthenticated","2026-09-25","passed","2026-09-25","Product API Contract","api/products.contract.spec.ts","",""
"","13605","should complete a user login, search for product, add to cart, and proceed to checkout","alerted","2026-09-25","passed","2026-09-25","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
"","775","should interact with nested iframes using frame locators","alerted","2026-09-25","passed","2026-09-25","Edge Cases (@regression)","ui/edge-cases.spec.ts","",""
"","12874","should complete a user login, search for product, add to cart, and proceed to checkout","unauthenticated","2026-09-25","passed","2026-09-25","Checkout Flow (@smoke)","ui/checkout-flow.spec.ts","",""
